date,home_team,away_team,odds_h,odds_d,odds_a,p_h,p_d,p_a,src,provider,price_type,overround,collected_at,source_file,source_sha8,alt_provider,alt_p_h,alt_p_d,alt_p_a
2018-08-10,Man United,Leicester,1.55,4.07,7.69,0.632,0.2407,0.1274,pinnacle_closing,pinnacle_closing,closing,1.0209,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.6201,0.2493,0.1306
2018-08-11,Bournemouth,Cardiff,1.88,3.61,4.7,0.5206,0.2711,0.2082,pinnacle_closing,pinnacle_closing,closing,1.0217,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.5172,0.2693,0.2134
2018-08-11,Fulham,Crystal Palace,2.62,3.38,2.9,0.3733,0.2894,0.3373,pinnacle_closing,pinnacle_closing,closing,1.0224,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.3913,0.2827,0.326
2018-08-11,Huddersfield,Chelsea,7.24,3.95,1.58,0.1349,0.2472,0.618,pinnacle_closing,pinnacle_closing,closing,1.0242,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.1526,0.2434,0.604
2018-08-11,Newcastle,Tottenham,4.74,3.53,1.89,0.2062,0.2768,0.517,pinnacle_closing,pinnacle_closing,closing,1.0234,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.2555,0.2741,0.4704
2018-08-11,Watford,Brighton,2.58,3.08,3.22,0.3789,0.3174,0.3036,pinnacle_closing,pinnacle_closing,closing,1.0228,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.4025,0.3038,0.2937
2018-08-11,Wolves,Everton,2.44,3.23,3.32,0.4015,0.3033,0.2951,pinnacle_closing,pinnacle_closing,closing,1.0206,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.4143,0.2876,0.2981
2018-08-12,Arsenal,Man City,4.43,4.13,1.81,0.2212,0.2373,0.5415,pinnacle_closing,pinnacle_closing,closing,1.0204,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.2451,0.2469,0.508
2018-08-12,Liverpool,West Ham,1.25,6.95,12.0,0.7788,0.1401,0.0811,pinnacle_closing,pinnacle_closing,closing,1.0272,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.7717,0.1543,0.074
2018-08-12,Southampton,Burnley,2.03,3.19,4.65,0.4824,0.307,0.2106,pinnacle_closing,pinnacle_closing,closing,1.0211,2026-09-13T03:33:42+00:00,E0_1819.csv,7c096b3c,pinnacle_opening,0.5256,0.2785,0.1959
