id,name,full_name,team,pos,price,status,chance_next,news,minutes,starts,total_points,points_per_game,form,selected_by_pct,ep_next,xG,xA,xGI,xGC,xG_per90,xA_per90,xGI_per90,xGC_per90,goals,assists,goals_minus_xG,assists_minus_xA,clean_sheets,goals_conceded,goals_conceded_per90,clean_sheets_per90,saves,saves_per90,own_goals,pens_saved,pens_missed,yellow,red,tackles,cbi,recoveries,defensive_contribution,def_contrib_per90,influence,creativity,threat,ict_index,bonus,bps
426,B.Fernandes,Bruno Borges Fernandes,Man Utd,MID,12.0,a,,,180,2,25,12.5,12.5,47.2,12.5,2.03,0.53,2.56,3.02,1.02,0.26,1.28,1.51,3,1,0.97,0.47,0,4,2.0,0.0,0,0.0,0,0,0,0,0,1,3,9,13,6.5,20.2,55.4,17.0,9.3,3,104
399,Cherki,Rayan Cherki,Man City,MID,7.6,a,,,108,1,22,11.0,11.0,18.2,11.0,0.35,1.05,1.4,0.76,0.29,0.88,1.17,0.63,2,2,1.65,0.95,0,1,0.83,0.0,0,0.0,0,0,0,1,0,0,0,3,3,2.5,39.2,48.8,4.0,9.2,4,88
154,Palmer,Cole Palmer,Chelsea,MID,9.6,a,100,,172,2,20,10.0,10.0,17.6,10.0,0.94,0.32,1.26,2.65,0.49,0.17,0.66,1.39,2,1,1.06,0.68,0,5,2.62,0.0,0,0.0,0,0,0,0,0,4,2,11,17,8.9,65.2,41.3,54.0,16.1,3,88
165,João Pedro,João Pedro Junqueira de Jesus,Chelsea,FWD,7.6,a,,,180,2,20,10.0,10.0,69.2,10.0,1.86,0.1,1.96,2.74,0.93,0.05,0.98,1.37,2,2,0.14,1.9,0,5,2.5,0.0,0,0.0,1,0,0,0,0,1,1,4,6,3.0,51.2,23.0,37.0,11.1,4,89
279,Ajayi,Semi Ajayi,Hull City,DEF,4.0,a,100,,153,2,20,10.0,10.0,4.3,10.0,0.52,0.0,0.52,2.15,0.31,0.0,0.31,1.26,1,0,0.48,0.0,2,0,0.0,1.18,0,0.0,0,0,0,0,0,2,12,8,14,8.24,44.2,0.2,35.0,7.9,2,63
572,Tzolakis,Konstantinos Tzolakis,Hull City,GK,4.5,a,,,180,2,20,10.0,10.0,4.6,10.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,1.56,0,0,0.0,0.0,2,0,0.0,1.0,8,4.0,0,0,0,0,0,0,0,33,0,0.0,34.6,0.0,0.0,3.5,6,73
565,M.Sangaré,Mamadou Sangaré,Brentford,MID,5.6,a,,,165,2,18,9.0,9.0,10.3,9.0,0.26,0.36,0.62,1.93,0.14,0.2,0.34,1.05,0,2,-0.26,1.64,1,1,0.55,0.55,0,0.0,0,0,0,0,0,6,9,12,27,14.73,31.6,21.8,21.0,7.4,3,57
229,Tarkowski,James Tarkowski,Everton,DEF,6.0,a,,,180,2,18,9.0,9.0,9.5,9.0,0.15,0.01,0.16,4.12,0.08,0.0,0.08,2.06,1,0,0.85,-0.01,1,1,0.5,0.5,0,0.0,0,0,0,0,0,2,17,7,19,9.5,15.2,0.8,4.0,2.0,2,52
115,De Cuyper,Maxim De Cuyper,Brighton,DEF,4.6,a,,,167,2,17,8.5,8.5,11.3,8.5,1.5,0.26,1.76,3.22,0.81,0.14,0.95,1.74,1,1,-0.5,0.74,1,4,2.16,0.54,0,0.0,0,0,0,0,0,3,3,6,6,3.23,40.6,45.3,43.0,12.9,2,44
277,Egan,John Egan,Hull City,DEF,4.0,a,,,180,2,17,8.5,8.5,2.8,8.5,0.0,0.0,0.0,3.12,0.0,0.0,0.0,1.56,0,0,0.0,0.0,2,0,0.0,1.0,0,0.0,0,0,0,0,0,2,32,4,34,17.0,43.4,0.1,2.0,4.6,1,52
