team_2026_27,player,matched,match_type,prior_pl_team,position,rating,w_points,w_goals,w_assists,w_goal_involvements,w_xgi,gi_per90,w_minutes,seasons,latest_team,latest_season
Arsenal,David Raya,True,name,Arsenal,GKP,96.33,96.33,0.0,0.0,0.0,0.04,0.0,1980.03,1,Arsenal,2025-26
Arsenal,Kepa Arrizabalaga,True,name,Arsenal,GKP,1.19,1.19,0.0,0.0,0.0,0.0,0.0,53.51,1,Arsenal,2025-26
Arsenal,Illan Meslier,True,name,Leeds,GKP,25.93,25.93,0.0,0.0,0.0,0.02,0.0,773.23,4,Leeds,2025-26
Arsenal,Tommy Setford,True,name,Arsenal,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Arsenal,2025-26
Arsenal,Piero Hincapié,True,name,Arsenal,DEF,51.73,51.73,0.59,1.19,1.78,1.21,0.15,1062.56,1,Arsenal,2025-26
Arsenal,William Saliba,True,name,Arsenal,DEF,176.52,176.52,1.97,0.34,2.31,3.25,0.06,3649.58,6,Arsenal,2025-26
Arsenal,Ben White,True,name,Arsenal,DEF,102.2,102.2,1.09,2.98,4.07,2.94,0.2,1847.81,4,Arsenal,2025-26
Arsenal,Gabriel Magalhães,True,name,Arsenal,DEF,215.21,215.21,3.85,3.89,7.74,5.96,0.2,3536.23,4,Arsenal,2025-26
Arsenal,Jurriën Timber,True,name,Arsenal,DEF,128.9,128.9,2.14,4.63,6.77,4.61,0.26,2326.52,3,Arsenal,2025-26
Arsenal,Riccardo Calafiori,True,name,Arsenal,DEF,78.6,78.6,1.3,1.54,2.84,3.0,0.19,1354.82,2,Arsenal,2025-26
Arsenal,Myles Lewis-Skelly,True,name,Arsenal,DEF,30.32,30.32,0.35,0.0,0.35,0.42,0.04,895.98,3,Arsenal,2025-26
Arsenal,Martin Ødegaard,True,name,Arsenal,MID,162.12,162.12,5.78,11.04,16.82,12.93,0.52,2918.64,6,Arsenal,2025-26
Arsenal,Eberechi Eze,True,name,Arsenal,MID,175.81,175.81,10.8,6.72,17.52,14.36,0.53,2953.94,6,Arsenal,2025-26
Everton,Christian Nørgaard,True,name,Arsenal,MID,73.93,73.93,2.54,3.03,5.56,3.75,0.25,2030.84,5,Arsenal,2025-26
Arsenal,Fábio Vieira,True,name,Arsenal,MID,10.05,10.05,0.34,0.88,1.22,0.68,0.89,123.46,4,Arsenal,2025-26
Arsenal,Ethan Nwaneri,True,name,Arsenal,MID,28.43,28.43,1.41,0.71,2.12,1.24,0.46,412.8,4,Arsenal,2025-26
Arsenal,Mikel Merino,True,name,Arsenal,MID,39.84,39.84,2.38,1.78,4.16,2.86,0.62,608.87,1,Arsenal,2025-26
Arsenal,Martín Zubimendi,True,name,Arsenal,MID,79.08,79.08,2.97,0.59,3.57,3.04,0.18,1778.46,1,Arsenal,2025-26
Arsenal,Declan Rice,True,name,Arsenal,MID,218.94,218.94,5.98,10.57,16.55,11.8,0.34,4437.65,10,Arsenal,2025-26
Arsenal,Bukayo Saka,True,name,Arsenal,MID,231.24,231.24,12.46,14.91,27.37,21.65,0.74,3320.71,8,Arsenal,2025-26
Arsenal,Gabriel Jesus,True,name,Arsenal,FWD,62.61,62.61,5.06,3.05,8.11,7.18,0.71,1027.71,4,Arsenal,2025-26
Arsenal,Gabriel Martinelli,True,name,Arsenal,MID,127.64,127.64,6.56,6.56,13.12,11.74,0.53,2211.94,4,Arsenal,2025-26
Arsenal,Viktor Gyökeres,True,name,Arsenal,FWD,76.11,76.11,8.32,0.59,8.92,8.44,0.61,1318.24,1,Arsenal,2025-26
Arsenal,Noni Madueke,True,name,Arsenal,MID,104.46,104.46,5.43,2.99,8.43,8.02,0.44,1732.85,4,Arsenal,2025-26
Arsenal,Reiss Nelson,True,name,Brentford,MID,26.89,26.89,0.75,1.35,2.1,1.59,0.55,342.19,9,Brentford,2025-26
Arsenal,Kai Havertz,True,name,Arsenal,FWD,118.64,118.64,8.75,5.63,14.38,11.51,0.62,2078.58,6,Arsenal,2025-26
Arsenal,Ismeal Kabia,True,name,Arsenal,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Arsenal,2025-26
Aston Villa,Joe Gauci,True,name,Aston Villa,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Aston Villa,2025-26
Aston Villa,Emiliano Martínez,True,name,Aston Villa,GKP,151.65,151.65,0.0,0.59,0.59,0.08,0.01,3841.5,4,Aston Villa,2025-26
Aston Villa,Marco Bizot,True,name,Aston Villa,GKP,9.51,9.51,0.0,0.0,0.0,0.0,0.0,347.84,1,Aston Villa,2025-26
Aston Villa,Matty Cash,True,name,Aston Villa,DEF,117.02,117.02,2.56,2.81,5.37,4.62,0.15,3201.41,4,Aston Villa,2025-26
Aston Villa,Victor Lindelöf,True,name,Aston Villa,DEF,61.17,61.17,0.3,1.01,1.31,0.57,0.07,1677.82,9,Aston Villa,2025-26
Aston Villa,Ezri Konsa,True,name,Aston Villa,DEF,141.52,141.52,1.18,0.86,2.04,2.75,0.04,4281.94,7,Aston Villa,2025-26
Aston Villa,Tyrone Mings,True,name,Aston Villa,DEF,79.52,79.52,0.34,1.76,2.1,1.69,0.09,2042.98,10,Aston Villa,2025-26
Aston Villa,Lucas Digne,True,name,Aston Villa,DEF,130.36,130.36,0.4,7.75,8.15,5.27,0.24,3043.29,8,Aston Villa,2025-26
Aston Villa,Pau Torres,True,name,Aston Villa,DEF,75.37,75.37,0.42,1.19,1.61,1.71,0.07,2226.17,3,Aston Villa,2025-26
Aston Villa,Kosta Nedeljkovic,True,name,Aston Villa,DEF,1.77,1.77,0.0,0.0,0.0,0.01,0.0,42.78,1,Aston Villa,2024-25
Aston Villa,Ian Maatsen,True,name,Aston Villa,DEF,54.57,54.57,0.35,1.3,1.66,3.53,0.11,1385.21,3,Aston Villa,2025-26
Aston Villa,Modou Cissé,True,name,Fulham,MID,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.34,1,Fulham,2018-19
Aston Villa,Ross Barkley,True,name,Aston Villa,MID,78.15,78.15,4.2,2.95,7.16,3.87,0.46,1399.62,10,Aston Villa,2025-26
Aston Villa,John McGinn,True,name,Aston Villa,MID,140.51,140.51,5.15,6.15,11.3,9.1,0.29,3458.66,7,Aston Villa,2025-26
Aston Villa,Emiliano Buendía,True,name,Aston Villa,MID,87.12,87.12,4.49,2.01,6.5,4.86,0.39,1514.56,5,Aston Villa,2025-26
Aston Villa,Amadou Onana,True,name,Aston Villa,MID,91.67,91.67,2.8,0.38,3.17,3.79,0.12,2362.88,4,Aston Villa,2025-26
Aston Villa,Lamare Bogarde,True,name,Aston Villa,DEF,25.91,25.91,0.0,0.0,0.0,0.18,0.0,786.81,4,Aston Villa,2025-26
Aston Villa,Boubacar Kamara,True,name,Aston Villa,MID,70.33,70.33,0.95,2.12,3.07,1.85,0.14,2015.63,4,Aston Villa,2025-26
Aston Villa,Aidan Borland,False,none,,,,,,,,,,,,,
Aston Villa,Ollie Watkins,True,name,Aston Villa,FWD,252.03,252.03,22.48,10.61,33.09,22.65,0.74,4036.08,6,Aston Villa,2025-26
Aston Villa,Tammy Abraham,True,name,Aston Villa,FWD,21.54,21.54,1.89,0.27,2.17,1.43,0.69,284.77,6,Aston Villa,2025-26
Aston Villa,Samuel Iling-Junior,True,name,Aston Villa,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Aston Villa,2025-26
Chelsea,Morgan Rogers,True,name,Aston Villa,MID,164.77,164.77,9.41,8.86,18.26,11.14,0.52,3185.32,3,Aston Villa,2025-26
Crystal Palace,Evann Guessand,True,name,Crystal Palace,MID,26.16,26.16,0.59,1.78,2.38,1.43,0.4,540.49,1,Crystal Palace,2025-26
Aston Villa,Brian Madjo,False,none,,,,,,,,,,,,,
Aston Villa,Leon Bailey,True,name,Aston Villa,MID,75.47,75.47,3.03,5.06,8.09,6.9,0.52,1402.73,5,Aston Villa,2025-26
Aston Villa,Alysson Edward,False,none,,,,,,,,,,,,,
Bournemouth,Djordje Petrovic,True,name,Bournemouth,GKP,88.66,88.66,0.0,0.0,0.0,0.0,0.0,2451.05,3,Bournemouth,2025-26
Bournemouth,Fraser Forster,True,name,Bournemouth,GKP,18.73,18.73,0.0,0.0,0.0,0.0,0.0,570.55,10,Bournemouth,2025-26
Bournemouth,Will Dennis,True,name,Bournemouth,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Bournemouth,2025-26
Bournemouth,Julián Araujo,True,name,Bournemouth,DEF,4.24,4.24,0.0,0.0,0.0,0.04,0.0,173.95,2,Bournemouth,2025-26
Bournemouth,Adrien Truffert,True,name,Bournemouth,DEF,98.11,98.11,0.59,3.57,4.16,2.63,0.19,2008.57,1,Bournemouth,2025-26
Bournemouth,Julio Soler,True,name,Bournemouth,DEF,1.78,1.78,0.0,0.0,0.0,0.0,0.0,20.22,1,Bournemouth,2025-26
Bournemouth,Adam Smith,True,name,Bournemouth,DEF,84.18,84.18,0.03,2.04,2.07,1.19,0.09,2140.44,8,Bournemouth,2025-26
Bournemouth,Bafodé Diakité,True,name,Bournemouth,DEF,27.35,27.35,0.0,0.0,0.0,0.12,0.0,758.12,1,Bournemouth,2025-26
Bournemouth,James Hill,True,name,Bournemouth,DEF,72.47,72.47,0.0,2.14,2.14,1.41,0.14,1422.04,4,Bournemouth,2025-26
Bournemouth,Veljko Milosavljevic,True,name,Bournemouth,DEF,11.3,11.3,0.0,0.0,0.0,0.2,0.0,218.22,1,Bournemouth,2025-26
Bournemouth,Matai Akinmboni,True,name,Bournemouth,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Bournemouth,2025-26
Bournemouth,Romain Faivre,True,name,Bournemouth,MID,0.84,0.84,0.0,0.0,0.0,0.04,0.0,7.78,3,Bournemouth,2025-26
Bournemouth,Lewis Cook,True,name,Bournemouth,MID,77.37,77.37,0.35,2.95,3.3,3.03,0.12,2440.15,8,Bournemouth,2025-26
Bournemouth,David Brooks,True,name,Bournemouth,MID,61.4,61.4,1.65,2.44,4.09,7.78,0.32,1165.93,6,Bournemouth,2025-26
Bournemouth,Alex Scott,True,name,Bournemouth,MID,98.68,98.68,1.99,1.4,3.39,5.01,0.14,2167.68,3,Bournemouth,2025-26
Bournemouth,Ryan Christie,True,name,Bournemouth,MID,81.74,81.74,2.02,2.96,4.98,5.6,0.21,2168.39,4,Bournemouth,2025-26
Bournemouth,Tyler Adams,True,name,Bournemouth,MID,73.22,73.22,1.19,2.25,3.44,1.64,0.15,2038.77,4,Bournemouth,2025-26
Bournemouth,Marcus Tavernier,True,name,Bournemouth,MID,142.68,142.68,6.48,6.19,12.67,13.63,0.38,2970.28,4,Bournemouth,2025-26
Bournemouth,Alex Tóth,True,name,Bournemouth,MID,4.76,4.76,0.0,0.0,0.0,0.26,0.0,80.27,1,Bournemouth,2025-26
Bournemouth,Ben Winterburn,True,name,Bournemouth,MID,2.01,2.01,0.0,0.0,0.0,0.0,0.0,11.35,2,Bournemouth,2025-26
Bournemouth,Luis Sinisterra,True,name,Bournemouth,MID,6.62,6.62,0.62,0.0,0.62,0.59,0.52,107.88,2,Bournemouth,2025-26
Bournemouth,Daniel Jebbison,True,name,Bournemouth,FWD,7.81,7.81,0.4,0.0,0.4,0.41,0.66,53.83,3,Bournemouth,2024-25
Bournemouth,Álvaro Rodríguez,True,name,Fulham,FWD,66.6,66.6,5.35,2.97,8.32,7.42,0.58,1298.02,1,Fulham,2025-26
Bournemouth,Evanilson,True,name,Bournemouth,FWD,113.63,113.63,7.1,5.93,13.03,12.23,0.48,2448.99,2,Bournemouth,2025-26
Bournemouth,Ben Gannon-Doak,True,name,Bournemouth,MID,6.54,6.54,0.0,0.59,0.59,0.23,0.86,62.43,1,Bournemouth,2025-26
Bournemouth,Justin Kluivert,True,name,Bournemouth,MID,101.26,101.26,6.9,2.33,9.23,8.71,0.46,1790.39,3,Bournemouth,2025-26
Bournemouth,Amine Adli,True,name,Bournemouth,MID,39.84,39.84,1.78,1.19,2.97,2.51,0.42,638.6,1,Bournemouth,2025-26
Bournemouth,Junior Kroupi,True,name,Bournemouth,FWD,67.19,67.19,7.73,0.0,7.73,5.84,0.7,988.83,1,Bournemouth,2025-26
Bournemouth,Enes Ünal,True,name,Bournemouth,FWD,35.78,35.78,1.72,1.19,2.92,2.91,0.85,310.56,3,Bournemouth,2025-26
Bournemouth,Rayan,True,name,Bournemouth,MID,39.84,39.84,2.97,1.19,4.16,2.68,0.57,660.01,1,Bournemouth,2025-26
Bournemouth,Remy Rees-Dottin,True,name,Bournemouth,MID,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.35,2,Bournemouth,2025-26
Brentford,Caoimhín Kelleher,True,name,Brentford,GKP,85.03,85.03,0.0,0.0,0.0,0.13,0.0,1980.03,1,Brentford,2025-26
Brentford,Hákon Valdimarsson,True,name,Brentford,GKP,0.59,0.59,0.0,0.0,0.0,0.0,0.0,53.51,1,Brentford,2025-26
Brentford,Matthew Cox,True,name,Brentford,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Brentford,2025-26
Brentford,Ellery Balcombe,True,name,Brentford,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Brentford,2025-26
Brentford,Julian Eyestone,True,name,Brentford,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Brentford,2025-26
Brentford,Jannik Schuster,False,none,,,,,,,,,,,,,
Brentford,Aaron Hickey,True,name,Brentford,DEF,33.45,33.45,0.0,0.38,0.38,0.55,0.04,793.38,4,Brentford,2025-26
Brentford,Rico Henry,True,name,Brentford,DEF,57.09,57.09,0.22,1.77,2.0,1.22,0.12,1514.85,5,Brentford,2025-26
Brentford,Sepp van den Berg,True,name,Brentford,DEF,89.11,89.11,0.0,2.14,2.14,3.78,0.08,2555.28,4,Brentford,2025-26
Coventry,Ethan Pinnock,True,name,Brentford,DEF,61.82,61.82,1.58,0.07,1.65,1.73,0.08,1932.79,5,Brentford,2025-26
Brentford,Kristoffer Ajer,True,name,Brentford,DEF,82.92,82.92,0.49,1.62,2.12,2.2,0.09,2207.42,5,Brentford,2025-26
Brentford,Jayden Meghoma,True,name,Brentford,DEF,0.35,0.35,0.0,0.0,0.0,0.0,0.0,1.41,2,Brentford,2025-26
