team,played_2026_27,last_match,l6_n,l6_shots,l6_shots_on_target,l6_corners,l6_fouls,l6_free_kicks_won,l6_yellows,l6_reds,l6_xg,l6_xa,l6_xgc,l6_offsides,l6_blocked_shots,l6_possession_pct,l6_passes,l6_pass_pct,l6_crosses,l6_long_balls,l6_tackles,l6_interceptions,l6_clearances,l6_saves,l6_pens_taken,l6_gf,l6_ga,l6_pts,l20_n,l20_shots,l20_shots_on_target,l20_corners,l20_fouls,l20_free_kicks_won,l20_yellows,l20_reds,l20_xg,l20_xa,l20_xgc,l20_offsides,l20_blocked_shots,l20_possession_pct,l20_passes,l20_pass_pct,l20_crosses,l20_long_balls,l20_tackles,l20_interceptions,l20_clearances,l20_saves,l20_pens_taken,l20_gf,l20_ga,l20_pts
Arsenal,3,2026-09-06,6,14.667,5.167,4.5,10.0,14.167,1.667,0.0,1.665,1.207,0.545,5.333,5.0,59.967,532.333,0.867,17.0,39.667,10.667,7.333,22.0,1.667,0.0,1.667,0.333,3.0,20,14.1,4.85,5.75,10.55,12.0,1.3,0.0,1.683,1.248,0.704,5.333,5.0,59.967,532.333,0.867,17.0,39.667,10.667,7.333,22.0,1.667,0.0,1.85,0.7,2.25
Hull,3,2026-09-05,3,8.333,3.333,2.0,9.333,8.333,2.667,0.0,0.79,0.3,1.683,0.667,0.333,28.767,248.0,0.7,15.667,60.333,16.333,9.667,33.667,3.0,0.0,1.0,0.0,2.333,3,8.333,3.333,2.0,9.333,8.333,2.667,0.0,0.79,0.3,1.683,0.667,0.333,28.767,248.0,0.7,15.667,60.333,16.333,9.667,33.667,3.0,0.0,1.0,0.0,2.333
Man City,3,2026-09-05,6,15.167,5.167,7.0,8.833,10.5,1.167,0.0,1.905,1.873,1.19,2.333,3.667,71.967,741.0,0.9,19.333,37.333,14.333,7.0,16.333,2.333,0.0,2.0,0.833,2.167,20,16.75,5.6,7.15,9.6,11.6,1.8,0.0,1.917,1.437,1.193,2.333,3.667,71.967,741.0,0.9,19.333,37.333,14.333,7.0,16.333,2.333,0.0,1.95,0.9,2.2
Sunderland,3,2026-09-05,6,13.167,3.667,4.5,11.5,15.0,1.333,0.0,1.38,0.958,1.08,2.667,3.0,51.7,440.333,0.833,18.333,56.0,16.667,6.667,24.667,0.667,0.333,1.333,0.833,1.833,20,11.5,3.7,3.75,11.65,13.0,2.2,0.05,1.255,0.789,1.345,2.667,3.0,51.7,440.333,0.833,18.333,56.0,16.667,6.667,24.667,0.667,0.333,1.2,1.45,1.4
Man United,3,2026-09-06,6,19.833,5.833,5.833,9.667,9.5,1.833,0.0,2.417,1.392,1.345,1.333,8.667,62.167,574.667,0.9,24.333,42.667,12.667,8.0,18.667,3.0,0.333,2.167,1.333,1.833,20,15.65,5.8,4.95,10.0,10.35,2.0,0.1,1.727,1.141,1.292,1.333,8.667,62.167,574.667,0.9,24.333,42.667,12.667,8.0,18.667,3.0,0.333,2.0,1.2,2.15
Chelsea,3,2026-09-06,6,12.167,4.167,3.833,12.5,14.5,3.0,0.0,1.275,0.798,1.503,1.0,5.0,36.5,328.667,0.767,11.333,54.333,15.0,8.0,27.667,5.333,0.0,2.0,1.833,1.667,20,13.35,4.0,5.9,10.7,12.15,2.5,0.1,1.772,1.068,1.402,1.0,5.0,36.5,328.667,0.767,11.333,54.333,15.0,8.0,27.667,5.333,0.0,1.6,1.75,1.35
Leeds,3,2026-09-05,6,10.667,3.0,4.333,10.833,11.833,1.5,0.0,1.312,0.632,1.952,2.333,4.333,41.533,309.667,0.733,15.333,54.667,18.333,11.0,37.333,3.667,0.0,0.833,1.0,1.5,20,12.15,3.75,4.35,11.0,11.2,1.75,0.05,1.399,0.77,1.436,2.333,4.333,41.533,309.667,0.733,15.333,54.667,18.333,11.0,37.333,3.667,0.0,1.15,1.05,1.5
Newcastle,3,2026-09-05,6,11.667,3.833,4.833,11.5,14.5,2.0,0.0,1.083,0.958,1.567,1.333,2.667,46.333,368.0,0.833,11.0,55.0,11.667,4.333,28.0,4.333,0.0,1.667,1.333,1.5,20,12.6,4.15,5.4,11.0,13.7,2.2,0.05,1.421,0.878,1.663,1.333,2.667,46.333,368.0,0.833,11.0,55.0,11.667,4.333,28.0,4.333,0.0,1.35,1.6,1.1
Aston Villa,3,2026-09-05,6,11.667,3.667,4.0,9.167,10.5,1.667,0.167,1.337,0.698,1.663,1.333,2.333,46.6,420.0,0.833,9.0,39.667,15.667,4.667,19.0,2.667,0.0,1.333,1.667,1.333,20,13.2,4.05,5.1,10.15,10.85,1.6,0.05,1.268,0.99,1.426,1.333,2.333,46.6,420.0,0.833,9.0,39.667,15.667,4.667,19.0,2.667,0.0,1.15,1.5,1.15
Liverpool,3,2026-09-04,6,16.333,5.667,6.667,12.667,11.667,2.5,0.0,1.747,1.038,1.49,2.667,7.333,61.767,529.667,0.867,22.667,50.0,18.0,6.667,19.333,3.0,0.333,1.667,1.667,1.167,20,16.45,5.45,6.8,11.05,10.5,1.55,0.05,1.693,1.182,1.443,2.667,7.333,61.767,529.667,0.867,22.667,50.0,18.0,6.667,19.333,3.0,0.333,1.85,1.45,1.5
Bournemouth,3,2026-09-05,6,12.667,4.167,4.667,13.833,12.333,2.5,0.167,1.328,0.643,1.632,0.667,4.667,45.033,368.333,0.8,14.0,57.333,15.333,9.333,25.667,3.0,0.0,1.167,1.167,1.167,20,13.7,4.35,5.45,11.3,11.0,2.25,0.05,1.639,0.964,1.523,0.667,4.667,45.033,368.333,0.8,14.0,57.333,15.333,9.333,25.667,3.0,0.0,1.4,0.95,1.65
Brighton,3,2026-09-05,6,17.0,5.5,5.667,10.667,9.833,1.5,0.0,2.15,1.468,1.418,3.333,3.667,71.367,586.667,0.867,29.333,57.333,12.667,6.667,20.333,1.333,0.0,1.833,1.5,1.167,20,13.7,5.0,5.3,11.6,9.8,1.95,0.0,1.597,1.128,1.228,3.333,3.667,71.367,586.667,0.867,29.333,57.333,12.667,6.667,20.333,1.333,0.0,1.45,1.15,1.4
Brentford,3,2026-09-05,6,14.833,3.667,5.0,13.167,8.333,2.333,0.0,1.717,1.087,1.923,1.0,7.333,47.833,379.333,0.8,23.333,47.0,16.333,11.333,28.667,2.333,0.333,1.333,1.333,1.167,20,12.45,3.65,4.8,10.9,9.3,1.8,0.0,1.632,1.095,1.478,1.0,7.333,47.833,379.333,0.8,23.333,47.0,16.333,11.333,28.667,2.333,0.333,1.25,1.3,1.25
Everton,3,2026-09-06,6,13.0,5.167,5.0,10.833,11.0,2.167,0.167,1.133,0.84,1.518,2.0,5.0,43.0,381.667,0.833,18.333,49.667,17.0,10.667,23.0,3.0,0.0,1.333,1.5,1.0,20,11.95,4.8,4.5,10.75,10.85,2.0,0.1,1.349,0.855,1.514,2.0,5.0,43.0,381.667,0.833,18.333,49.667,17.0,10.667,23.0,3.0,0.0,1.45,1.4,1.25
Ipswich,3,2026-09-04,3,11.0,4.333,3.667,10.0,11.333,1.333,0.0,1.537,0.73,2.17,2.333,2.0,40.733,370.333,0.8,12.667,42.333,16.667,7.333,28.0,4.333,0.0,1.333,2.667,1.0,3,11.0,4.333,3.667,10.0,11.333,1.333,0.0,1.537,0.73,2.17,2.333,2.0,40.733,370.333,0.8,12.667,42.333,16.667,7.333,28.0,4.333,0.0,1.333,2.667,1.0
Tottenham,3,2026-09-05,6,14.0,3.667,7.667,14.5,13.0,2.5,0.0,1.152,0.648,1.325,1.667,3.0,58.333,485.667,0.867,21.0,43.0,14.667,6.0,21.667,2.0,0.0,0.5,1.333,0.833,20,13.05,4.4,6.05,13.75,12.15,2.6,0.05,1.164,0.756,1.539,1.667,3.0,58.333,485.667,0.867,21.0,43.0,14.667,6.0,21.667,2.0,0.0,0.9,1.75,0.75
Fulham,3,2026-09-05,6,16.333,4.167,6.667,11.0,11.833,1.667,0.167,1.705,1.093,1.457,0.667,7.333,61.533,617.333,0.867,16.333,53.0,14.333,8.667,15.0,2.667,0.0,1.167,1.5,0.667,20,14.1,3.6,5.5,10.7,9.75,1.7,0.05,1.48,0.916,1.506,0.667,7.333,61.533,617.333,0.867,16.333,53.0,14.333,8.667,15.0,2.667,0.0,1.05,1.4,1.05
Crystal Palace,3,2026-09-05,6,10.0,3.333,2.333,8.5,8.333,1.167,0.0,1.302,0.703,2.013,3.0,2.0,40.333,407.667,0.833,12.667,36.667,24.667,12.333,28.333,4.0,0.0,1.167,2.5,0.667,20,11.3,3.55,4.0,11.1,10.0,1.9,0.1,1.447,0.929,1.546,3.0,2.0,40.333,407.667,0.833,12.667,36.667,24.667,12.333,28.333,4.0,0.0,1.15,1.8,1.0
Nott'm Forest,3,2026-09-05,6,13.167,3.667,4.0,13.167,11.5,1.667,0.0,1.473,0.973,1.71,1.667,3.667,42.333,327.667,0.767,15.333,66.333,20.0,5.333,29.333,1.333,0.333,1.0,1.333,0.667,20,12.6,3.9,4.7,11.3,11.45,1.6,0.0,1.273,0.81,1.534,1.667,3.667,42.333,327.667,0.767,15.333,66.333,20.0,5.333,29.333,1.333,0.333,1.45,1.0,1.25
Coventry,3,2026-09-05,3,9.0,2.333,4.333,13.667,8.333,1.333,0.0,0.96,0.61,1.573,1.667,3.0,42.2,374.667,0.767,19.667,55.667,9.0,10.0,26.667,1.667,0.0,0.0,1.667,0.0,3,9.0,2.333,4.333,13.667,8.333,1.333,0.0,0.96,0.61,1.573,1.667,3.0,42.2,374.667,0.767,19.667,55.667,9.0,10.0,26.667,1.667,0.0,0.0,1.667,0.0
