season,gw,date,fixture,team,opponent,venue,gf,ga,result,pts,shots,shots_on_target,corners,fouls,free_kicks_won,yellows,reds,xg,xa,xgc,xg_scope,offsides,blocked_shots,possession_pct,passes,pass_pct,crosses,long_balls,tackles,interceptions,clearances,saves,pens_taken
2026-27,1,2026-08-21,401879301,Arsenal,Coventry,H,3,0,W,3,20.0,6.0,8.0,10.0,13.0,1.0,0.0,1.88,0.93,0.21,match,5.0,8.0,64.5,613.0,0.9,19.0,31.0,9.0,5.0,22.0,1.0,0.0
2026-27,1,2026-08-21,401879301,Coventry,Arsenal,A,0,3,L,0,4.0,1.0,2.0,13.0,10.0,1.0,0.0,0.21,0.24,1.88,match,0.0,1.0,35.5,337.0,0.8,10.0,65.0,4.0,9.0,30.0,2.0,0.0
2026-27,1,2026-08-22,401879298,Nott'm Forest,Leeds,H,0,1,L,0,12.0,2.0,3.0,15.0,14.0,2.0,0.0,0.88,0.76,0.47,match,3.0,2.0,55.2,392.0,0.8,20.0,71.0,9.0,2.0,31.0,2.0,0.0
2026-27,1,2026-08-22,401879298,Leeds,Nott'm Forest,A,1,0,W,3,11.0,3.0,2.0,14.0,15.0,1.0,0.0,0.47,0.35,0.88,match,3.0,6.0,44.8,325.0,0.7,8.0,58.0,19.0,15.0,30.0,3.0,0.0
2026-27,1,2026-08-22,401879299,Ipswich,Sunderland,H,2,1,W,3,10.0,3.0,3.0,12.0,14.0,0.0,0.0,1.79,1.01,0.67,match,1.0,1.0,37.5,325.0,0.8,14.0,53.0,23.0,7.0,33.0,2.0,0.0
2026-27,1,2026-08-22,401879299,Sunderland,Ipswich,A,1,2,L,0,11.0,4.0,5.0,14.0,12.0,3.0,0.0,0.67,0.83,1.79,match,4.0,4.0,62.5,549.0,0.9,23.0,58.0,16.0,9.0,12.0,1.0,0.0
2026-27,1,2026-08-22,401879300,Everton,Crystal Palace,H,2,0,W,3,16.0,5.0,4.0,5.0,15.0,0.0,0.0,0.88,0.56,1.74,match,2.0,7.0,42.1,413.0,0.8,14.0,58.0,17.0,10.0,19.0,4.0,0.0
2026-27,1,2026-08-22,401879300,Crystal Palace,Everton,A,0,2,L,0,11.0,4.0,0.0,15.0,5.0,1.0,0.0,1.74,1.38,0.88,match,0.0,3.0,57.9,570.0,0.9,13.0,31.0,25.0,10.0,34.0,3.0,0.0
2026-27,1,2026-08-22,401879321,Brentford,Tottenham,H,3,0,W,3,26.0,8.0,7.0,17.0,14.0,1.0,0.0,3.91,1.91,0.57,match,3.0,7.0,41.1,354.0,0.8,21.0,46.0,20.0,15.0,16.0,4.0,1.0
2026-27,1,2026-08-22,401879321,Tottenham,Brentford,A,0,3,L,0,9.0,4.0,3.0,14.0,17.0,1.0,0.0,0.57,0.43,3.91,match,2.0,2.0,58.9,523.0,0.9,14.0,33.0,18.0,6.0,23.0,5.0,0.0
