rank,team,attack_rating,defense_rating,net_strength,exp_goals_for_home,exp_goals_against_home,exp_goals_for_away,exp_goals_against_away,exp_goal_diff_per_game,weighted_matches,model,home_adv,rho,decay,window_years,train_from,train_to,cutoff
1,Arsenal,0.4685,0.5063,0.9748,2.036,0.603,1.598,0.768,1.131,303.7,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
2,Man City,0.5663,0.3625,0.9288,2.246,0.696,1.762,0.887,1.212,304.6,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
3,Liverpool,0.4929,0.0998,0.5927,2.087,0.905,1.637,1.154,0.832,304.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
4,Man United,0.2995,0.0432,0.3427,1.72,0.958,1.349,1.221,0.445,304.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
5,Chelsea,0.2908,0.0491,0.3399,1.705,0.952,1.337,1.213,0.438,304.1,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
6,Newcastle,0.3249,-0.0035,0.3214,1.764,1.004,1.384,1.279,0.433,304.1,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
7,Aston Villa,0.2712,0.0411,0.3123,1.672,0.96,1.312,1.223,0.4,302.6,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
8,Brighton,0.2234,0.0306,0.2541,1.594,0.97,1.25,1.236,0.319,304.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
9,Brentford,0.2592,-0.0145,0.2447,1.652,1.015,1.296,1.293,0.32,295.3,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
10,Bournemouth,0.224,-0.0012,0.2228,1.595,1.001,1.251,1.276,0.284,289.4,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
11,Nott'm Forest,0.1411,0.0306,0.1717,1.468,0.97,1.151,1.236,0.207,285.7,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
12,Fulham,0.0972,0.0209,0.1182,1.405,0.979,1.102,1.248,0.14,291.6,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
13,Tottenham,0.2317,-0.1178,0.1139,1.607,1.125,1.261,1.434,0.154,304.1,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
14,Everton,-0.007,0.0851,0.0781,1.266,0.918,0.993,1.171,0.085,304.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
15,Sunderland,-0.0559,0.1225,0.0667,1.205,0.885,0.946,1.128,0.069,152.0,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
16,Crystal Palace,0.0453,0.0181,0.0634,1.334,0.982,1.046,1.252,0.073,304.6,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
17,Leeds,0.0986,-0.064,0.0346,1.407,1.066,1.104,1.359,0.043,185.7,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
18,Cardiff,-0.5396,0.4848,-0.0549,0.743,0.616,0.583,0.785,-0.037,1.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
19,West Ham,0.0906,-0.1543,-0.0637,1.395,1.167,1.095,1.487,-0.082,303.7,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
20,Huddersfield,-0.5621,0.4684,-0.0937,0.727,0.626,0.57,0.798,-0.064,1.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
21,West Brom,-0.493,0.2634,-0.2296,0.779,0.768,0.611,0.979,-0.179,4.9,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
22,Luton,-0.0008,-0.3181,-0.3189,1.274,1.374,0.999,1.752,-0.427,38.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
23,Wolves,-0.1605,-0.1748,-0.3353,1.086,1.191,0.852,1.518,-0.386,303.5,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
24,Watford,-0.4298,0.0161,-0.4137,0.829,0.984,0.651,1.254,-0.379,13.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
25,Leicester,-0.1553,-0.2727,-0.428,1.091,1.314,0.856,1.674,-0.52,113.9,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
26,Burnley,-0.1428,-0.2886,-0.4313,1.105,1.335,0.867,1.701,-0.532,208.2,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
27,Ipswich,-0.2681,-0.3654,-0.6335,0.975,1.441,0.765,1.837,-0.769,76.5,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
28,Norwich,-0.5896,-0.0448,-0.6344,0.707,1.046,0.555,1.333,-0.559,12.0,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
29,Southampton,-0.3756,-0.3685,-0.7441,0.876,1.446,0.687,1.843,-0.863,113.7,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
30,Sheffield United,-0.3454,-0.4542,-0.7995,0.902,1.575,0.708,2.007,-0.986,45.5,dixon-coles,0.2426,-0.0834,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
