rank,team,attack_rating,defense_rating,net_strength,exp_goals_for_home,exp_goals_against_home,exp_goals_for_away,exp_goals_against_away,exp_goal_diff_per_game,weighted_matches,model,home_adv,rho,decay,window_years,train_from,train_to,cutoff
1,Arsenal,0.4685,0.5063,0.9747,2.036,0.603,1.598,0.768,1.131,303.7,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
2,Man City,0.5664,0.3625,0.9289,2.246,0.696,1.762,0.887,1.212,304.6,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
3,Liverpool,0.4928,0.0998,0.5926,2.087,0.905,1.637,1.154,0.832,304.2,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
4,Man United,0.2995,0.0431,0.3427,1.72,0.958,1.349,1.221,0.445,304.2,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
5,Chelsea,0.2908,0.0491,0.3399,1.705,0.952,1.337,1.214,0.438,304.1,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
6,Newcastle,0.3249,-0.0036,0.3213,1.764,1.004,1.384,1.279,0.432,304.1,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
7,Aston Villa,0.2712,0.041,0.3122,1.672,0.96,1.312,1.223,0.4,302.6,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
8,Brighton,0.2235,0.0306,0.254,1.594,0.97,1.25,1.236,0.319,304.2,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
9,Brentford,0.2592,-0.0146,0.2446,1.652,1.015,1.296,1.293,0.32,295.3,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
10,Bournemouth,0.224,-0.0013,0.2227,1.595,1.001,1.251,1.276,0.284,289.4,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
11,Nott'm Forest,0.1411,0.0306,0.1717,1.468,0.97,1.152,1.236,0.207,285.7,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
12,Fulham,0.0972,0.0208,0.118,1.405,0.979,1.102,1.248,0.14,291.6,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
13,Tottenham,0.2317,-0.1178,0.114,1.607,1.125,1.261,1.434,0.154,304.1,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
14,Everton,-0.007,0.0852,0.0782,1.266,0.918,0.993,1.171,0.085,304.2,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
15,Sunderland,-0.0558,0.1225,0.0667,1.205,0.885,0.946,1.128,0.069,152.0,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
16,Crystal Palace,0.0453,0.018,0.0633,1.334,0.982,1.046,1.252,0.073,304.6,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
17,Leeds,0.0986,-0.0639,0.0347,1.407,1.066,1.104,1.359,0.043,185.7,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
18,Ipswich,-0.2685,-0.3656,-0.634,0.975,1.441,0.765,1.837,-0.77,76.5,dixon-coles,0.2427,-0.0833,8**(-age/3),8,2018-08-10,2026-05-24,2026-05-25
