rank,team,strength_index,proj_points,proj_gd,attack,defense,net_strength,proj_gf,proj_ga,form_last6,provisional
1,Man City,100.0,78.3,41.8,0.565,0.39,0.956,77.5,35.8,6,False
2,Arsenal,98.3,77.0,38.1,0.463,0.503,0.966,70.3,32.2,6,False
3,Liverpool,84.5,66.2,22.3,0.475,0.109,0.584,70.0,47.7,0,False
4,Brighton,74.5,58.3,9.4,0.338,0.042,0.38,60.9,51.5,0,False
5,Man United,72.2,56.5,6.6,0.318,0.015,0.333,59.6,53.0,7,False
6,Chelsea,71.9,56.3,6.2,0.342,-0.019,0.323,60.9,54.7,-6,False
7,Newcastle,71.5,56.0,5.8,0.348,-0.033,0.315,61.2,55.4,0,False
8,Brentford,71.1,55.7,5.3,0.292,0.021,0.313,58.0,52.7,-1,False
9,Aston Villa,68.7,53.8,2.4,0.251,0.013,0.264,55.7,53.3,2,False
10,Bournemouth,67.2,52.6,0.5,0.241,-0.011,0.23,55.1,54.6,5,False
11,Leeds,63.2,49.5,-4.0,0.15,-0.001,0.149,50.3,54.3,3,False
12,Nott'm Forest,63.1,49.4,-3.8,0.101,0.049,0.15,48.0,51.8,9,False
13,Everton,61.4,48.1,-5.0,-0.012,0.127,0.116,43.1,48.1,-5,False
14,Hull,60.7,47.5,-5.3,-0.103,0.204,0.101,39.5,44.7,0,True
15,Fulham,60.5,47.4,-7.0,0.09,0.0,0.09,47.4,54.4,-1,False
16,Tottenham,58.9,46.1,-10.0,0.174,-0.121,0.053,51.2,61.1,2,False
17,Sunderland,58.1,45.5,-8.6,-0.084,0.118,0.034,40.0,48.7,-3,False
18,Crystal Palace,57.2,44.8,-11.2,0.073,-0.057,0.016,46.4,57.7,-9,False
19,Ipswich,35.5,27.8,-43.3,-0.098,-0.397,-0.495,38.2,81.5,-12,False
20,Coventry,32.1,25.1,-40.1,-0.557,-0.152,-0.708,24.6,64.7,0,True
