rank,player,position,latest_team,rating,w_goals,w_assists,w_goal_involvements,w_xgi,gi_per90,seasons
1,Haaland,FWD,Man City,208.88,24.62,6.31,30.94,26.02,1.05,4
2,B.Fernandes,MID,Man United,192.75,8.25,16.69,24.94,19.74,0.78,4
3,Watkins,FWD,Aston Villa,176.16,15.88,6.98,22.86,16.36,0.73,6
4,Mbeumo,MID,Man United,161.97,12.31,5.41,17.72,16.78,0.6,5
5,Gabriel,DEF,Arsenal,161.5,2.81,3.12,5.94,4.32,0.21,4
6,Gibbs-White,MID,Nott'm Forest,159.92,10.2,7.01,17.21,12.09,0.54,8
7,Saka,MID,Arsenal,159.06,8.3,10.41,18.71,15.41,0.75,8
8,Rice,MID,Arsenal,157.2,4.2,7.74,11.95,8.87,0.35,10
9,Semenyo,MID,Man City,156.75,12.31,5.25,17.56,11.48,0.59,4
10,Virgil,DEF,Liverpool,154.19,4.35,1.19,5.54,4.12,0.15,10
11,Palmer,MID,Chelsea,142.47,11.5,5.22,16.72,16.34,0.71,7
12,Pickford,GKP,Everton,141.21,0.0,0.31,0.31,0.23,0.01,10
13,Bruno G.,MID,Arsenal,138.66,7.03,6.47,13.5,9.49,0.46,5
14,Tarkowski,DEF,Everton,138.51,1.51,2.03,3.54,4.18,0.1,10
15,Guéhi,DEF,Man City,136.53,2.38,3.16,5.53,4.52,0.17,5
16,Foden,MID,Man City,136.42,8.78,5.02,13.79,10.82,0.6,9
17,João Pedro,FWD,Chelsea,134.9,11.22,6.41,17.62,13.53,0.75,5
18,Rogers,MID,Chelsea,129.12,7.38,6.88,14.25,8.72,0.51,3
19,Saliba,DEF,Arsenal,128.81,1.38,0.19,1.56,2.37,0.05,6
20,Szoboszlai,MID,Liverpool,128.12,4.88,6.5,11.38,10.14,0.41,3
21,Enzo,MID,Man City,124.5,6.88,5.0,11.88,13.75,0.4,4
22,Anderson,MID,Man City,123.89,2.5,4.31,6.81,5.77,0.25,6
23,Eze,MID,Arsenal,123.36,7.59,4.59,12.19,10.17,0.53,6
24,Mitchell,DEF,Crystal Palace,123.28,0.77,3.59,4.36,3.88,0.13,7
25,Wilson,MID,Brentford,120.21,7.18,6.2,13.38,7.62,0.63,7
26,Mateta,FWD,Crystal Palace,119.83,11.8,1.41,13.2,13.62,0.56,6
27,Leno,GKP,Fulham,118.91,0.0,0.5,0.5,0.02,0.01,8
28,Gakpo,MID,Liverpool,116.12,7.44,4.56,12.0,11.22,0.5,4
29,Iwobi,MID,Fulham,115.63,5.11,3.91,9.01,7.72,0.32,10
30,Welbeck,FWD,Chelsea,114.54,10.31,2.77,13.08,11.07,0.57,10
31,Henderson,GKP,Chelsea,112.31,0.0,0.01,0.01,0.06,0.0,7
32,Collins,DEF,Brentford,111.53,1.19,2.88,4.06,3.32,0.13,5
33,Mac Allister,MID,Liverpool,110.62,3.67,4.83,8.5,6.98,0.3,7
34,Martinez,GKP,Chelsea,110.56,0.0,0.5,0.5,0.06,0.02,4
35,Barnes,MID,Newcastle,109.59,7.57,2.79,10.36,8.92,0.52,9
36,Calvert-Lewin,FWD,Leeds,107.99,9.29,2.14,11.43,12.32,0.46,10
37,Tavernier,MID,Bournemouth,107.25,4.94,4.5,9.44,10.42,0.38,4
38,Ødegaard,MID,Arsenal,107.22,3.42,7.78,11.2,8.65,0.52,6
39,Casemiro,MID,Man Utd,107.19,5.12,2.56,7.69,6.31,0.34,4
40,O.Dango,MID,Brentford,105.81,5.44,5.44,10.88,9.74,0.53,4
41,Schade,MID,Brentford,105.69,7.0,3.81,10.81,10.04,0.48,4
42,Lacroix,DEF,Chelsea,105.5,0.75,1.5,2.25,2.77,0.09,2
43,Neto,MID,Chelsea,104.63,3.88,6.68,10.56,8.73,0.43,7
44,Van Hecke,DEF,Tottenham,103.75,1.75,1.75,3.5,3.45,0.12,4
45,J.Timber,DEF,Arsenal,103.0,1.75,3.75,5.5,3.76,0.27,3
46,Garner,MID,Everton,102.45,1.12,4.06,5.19,5.52,0.18,7
47,Chalobah,DEF,Chelsea,102.28,2.47,0.78,3.25,2.01,0.14,6
48,Isak,FWD,Liverpool,101.0,10.5,2.62,13.12,10.77,0.84,4
49,Gravenberch,MID,Liverpool,100.62,2.62,3.5,6.12,3.66,0.23,3
50,Burn,DEF,Newcastle,99.98,1.11,2.03,3.14,2.26,0.11,8
