team,first_season,last_season,seasons
Arsenal,1993-94,2025-26,33
Aston Villa,1993-94,2025-26,33
Barnsley,1997-98,1997-98,1
Birmingham,2002-03,2010-11,9
Blackburn,1993-94,2011-12,19
Blackpool,2010-11,2010-11,1
Bolton,1995-96,2011-12,17
Bournemouth,2015-16,2025-26,11
Bradford,1999-00,2000-01,2
Brentford,2021-22,2025-26,5
Brighton,2017-18,2025-26,9
Burnley,2009-10,2025-26,17
Cardiff,2013-14,2018-19,6
Charlton,1998-99,2006-07,9
Chelsea,1993-94,2025-26,33
Coventry,1993-94,2000-01,8
Crystal Palace,1994-95,2025-26,32
Derby,1996-97,2007-08,12
Everton,1993-94,2025-26,33
Fulham,2001-02,2025-26,25
Huddersfield,2017-18,2018-19,2
Hull,2008-09,2016-17,9
Ipswich,1993-94,2024-25,32
Leeds,1993-94,2025-26,33
Leicester,1994-95,2024-25,31
Liverpool,1993-94,2025-26,33
Luton,2023-24,2023-24,1
Man City,1993-94,2025-26,33
Man United,1993-94,2025-26,33
Middlesbrough,1995-96,2016-17,22
Newcastle,1993-94,2025-26,33
Norwich,1993-94,2021-22,29
Nott'm Forest,1994-95,2025-26,32
Oldham,1993-94,1993-94,1
Portsmouth,2003-04,2009-10,7
QPR,1993-94,2014-15,22
Reading,2006-07,2012-13,7
Sheffield United,1993-94,2023-24,31
Sheffield Weds,1993-94,1999-00,7
Southampton,1993-94,2024-25,32
Stoke,2008-09,2017-18,10
Sunderland,1996-97,2025-26,30
Swansea,2011-12,2017-18,7
Swindon,1993-94,1993-94,1
Tottenham,1993-94,2025-26,33
Watford,1999-00,2021-22,23
West Brom,2002-03,2020-21,19
West Ham,1993-94,2025-26,33
Wigan,2005-06,2012-13,8
Wimbledon,1993-94,1999-00,7
Wolves,2003-04,2025-26,23
