Team,Player
Arsenal,David Raya
Arsenal,Kepa Arrizabalaga
Arsenal,Illan Meslier
Arsenal,Tommy Setford
Arsenal,Piero Hincapié
Arsenal,William Saliba
Arsenal,Ben White
Arsenal,Gabriel Magalhães
Arsenal,Jurriën Timber
Arsenal,Riccardo Calafiori
Arsenal,Myles Lewis-Skelly
Arsenal,Martin Ødegaard
Arsenal,Eberechi Eze
Arsenal,Christian Nørgaard
Arsenal,Fábio Vieira
Arsenal,Ethan Nwaneri
Arsenal,Mikel Merino
Arsenal,Martín Zubimendi
Arsenal,Declan Rice
Arsenal,Bukayo Saka
Arsenal,Gabriel Jesus
Arsenal,Gabriel Martinelli
Arsenal,Viktor Gyökeres
Arsenal,Noni Madueke
Arsenal,Reiss Nelson
Arsenal,Kai Havertz
Arsenal,Ismeal Kabia
Aston Villa,Joe Gauci
Aston Villa,Emiliano Martínez
Aston Villa,Marco Bizot
Aston Villa,Matty Cash
Aston Villa,Victor Lindelöf
Aston Villa,Ezri Konsa
Aston Villa,Tyrone Mings
Aston Villa,Lucas Digne
Aston Villa,Pau Torres
Aston Villa,Kosta Nedeljkovic
Aston Villa,Ian Maatsen
Aston Villa,Modou Cissé
Aston Villa,Ross Barkley
Aston Villa,John McGinn
Aston Villa,Emiliano Buendía
Aston Villa,Amadou Onana
Aston Villa,Lamare Bogarde
Aston Villa,Boubacar Kamara
Aston Villa,Aidan Borland
Aston Villa,Ollie Watkins
Aston Villa,Tammy Abraham
Aston Villa,Samuel Iling-Junior
Aston Villa,Morgan Rogers
Aston Villa,Evann Guessand
Aston Villa,Brian Madjo
Aston Villa,Leon Bailey
Aston Villa,Alysson Edward
Bournemouth,Djordje Petrovic
Bournemouth,Fraser Forster
Bournemouth,Will Dennis
Bournemouth,Julián Araujo
Bournemouth,Adrien Truffert
Bournemouth,Julio Soler
Bournemouth,Adam Smith
Bournemouth,Bafodé Diakité
Bournemouth,James Hill
Bournemouth,Veljko Milosavljevic
Bournemouth,Matai Akinmboni
Bournemouth,Romain Faivre
Bournemouth,Lewis Cook
Bournemouth,David Brooks
Bournemouth,Alex Scott
Bournemouth,Ryan Christie
Bournemouth,Tyler Adams
Bournemouth,Marcus Tavernier
Bournemouth,Alex Tóth
Bournemouth,Ben Winterburn
Bournemouth,Luis Sinisterra
Bournemouth,Daniel Jebbison
Bournemouth,Álvaro Rodríguez
Bournemouth,Evanilson
Bournemouth,Ben Gannon-Doak
Bournemouth,Justin Kluivert
Bournemouth,Amine Adli
Bournemouth,Junior Kroupi
Bournemouth,Enes Ünal
Bournemouth,Rayan
Bournemouth,Remy Rees-Dottin
Brentford,Caoimhín Kelleher
Brentford,Hákon Valdimarsson
Brentford,Matthew Cox
Brentford,Ellery Balcombe
Brentford,Julian Eyestone
Brentford,Jannik Schuster
Brentford,Aaron Hickey
Brentford,Rico Henry
Brentford,Sepp van den Berg
Brentford,Ethan Pinnock
Brentford,Kristoffer Ajer
Brentford,Jayden Meghoma
Brentford,Nathan Collins
Brentford,Michael Kayode
Brentford,Kim Ji-Soo
Brentford,Benjamin Arthur
Brentford,Benjamin Fredrick
Brentford,Ollie Shield
Brentford,Joshua Stephenson
Brentford,Conor McManus
Brentford,Jordan Henderson
Brentford,Kevin Schade
Brentford,Mathias Jensen
Brentford,Josh Dasilva
Brentford,Fábio Carvalho
Brentford,Antoni Milambo
Brentford,Yehor Yarmoliuk
Brentford,Mikkel Damsgaard
Brentford,Yunus Konak
Brentford,Vitaly Janelt
Brentford,Luka Bentt
Brentford,Callum Wilson
Brentford,Igor Thiago
Brentford,Jaidon Anthony
Brentford,Dango Ouattara
Brentford,Keane Lewis-Potter
Brentford,Gustavo Nunes
Brentford,Kaye Furo
Brighton & Hove Albion,James Beadle
Brighton & Hove Albion,Bart Verbruggen
Brighton & Hove Albion,Jason Steele
Brighton & Hove Albion,Tom McGill
Brighton & Hove Albion,Carl Rushworth
Brighton & Hove Albion,Pascal Struijk
Brighton & Hove Albion,Costinha
Brighton & Hove Albion,Michael Svoboda
Brighton & Hove Albion,Luka Vuskovic
Brighton & Hove Albion,Igor Julio
Brighton & Hove Albion,Lewis Dunk
Brighton & Hove Albion,Eiran Cashin
Brighton & Hove Albion,Olivier Boscagli
Brighton & Hove Albion,Ferdi Kadioglu
Brighton & Hove Albion,Maxim De Cuyper
Brighton & Hove Albion,Amario Cozier-Duberry
Brighton & Hove Albion,Rodrigo Rêgo
Brighton & Hove Albion,Jack Hinshelwood
Brighton & Hove Albion,Carlos Baleba
Brighton & Hove Albion,Kaoru Mitoma
Brighton & Hove Albion,Diego Gómez
Brighton & Hove Albion,Yasin Ayari
Brighton & Hove Albion,Mats Wieffer
Brighton & Hove Albion,Pascal Groß
Brighton & Hove Albion,Matt O'Riley
Brighton & Hove Albion,Malick Yalcouyé
Brighton & Hove Albion,Facundo Buonanotte
Brighton & Hove Albion,Ibrahim Osman
Brighton & Hove Albion,Zadok Yohanna
Brighton & Hove Albion,Stefanos Tzimas
Brighton & Hove Albion,Georginio Rutter
Brighton & Hove Albion,Yankuba Minteh
Brighton & Hove Albion,Tom Watson
Brighton & Hove Albion,Danny Welbeck
Brighton & Hove Albion,Charalampos Kostoulas
Brighton & Hove Albion,Evan Ferguson
Brighton & Hove Albion,Mark O'Mahony
Chelsea,Robert Sánchez
Chelsea,Filip Jörgensen
Chelsea,Teddy Sharman-Lowe
Chelsea,Mike Penders
Chelsea,Gaga Slonina
Chelsea,Axel Disasi
Chelsea,Ishé Samuels-Smith
Chelsea,Marco Palestra
